Model Name,MSE Mean,MSE Std,RMSE Mean,RMSE Std,MAE Mean,MAE Std,MAPE Mean,MAPE Std,R2 Mean,R2 Std,Avg Epochs,Stop Reason plateau,Stop Reason overfitting
MLP_ReLU_512_256_128_64_32,35.74010467529297,8.334821701049805,5.940610408782959,0.6702621579170227,4.390646934509277,0.5196722149848938,0.13877229613324257,0.0031943292046790117,0.8704465746879577,0.03380898282315904,187.6,,5.0
MLP_LeakyReLU_512_256_128_64_32,35.478919982910156,9.043434143066406,5.907240867614746,0.7638213038444519,4.411605358123779,0.572055995464325,0.14162565921247985,0.004468383047931236,0.8731578469276429,0.026940725250776898,158.4,,5.0
MLP_GELU_512_256_128_64_32,36.17583084106445,8.217782974243164,5.977538585662842,0.6669830679893494,4.389887809753418,0.34480035305023193,0.1423693177781929,0.008357761318537327,0.8715403556823731,0.01544850720124747,111.8,,5.0
MLP_Tanh_512_256_128_64_32,294.45513916015625,35.39957046508789,17.12907600402832,1.0246387720108032,13.608755111694336,0.6997897624969482,0.5385124743959747,0.04761963611258598,-0.05635313987731934,0.010096208864259826,105.2,5.0,
MLP_ReLU_32_32,129.74156188964844,15.330652236938477,11.370706558227539,0.6697684526443481,9.219484329223633,0.5237281918525696,0.3504634338573963,0.02094881657989557,0.5321697235107422,0.04668405065706011,72.0,5.0,
MLP_LeakyReLU_32_32,130.83375549316406,18.633373260498047,11.409945487976074,0.8042868971824646,9.264501571655273,0.5982353687286377,0.35361549129090875,0.027476871651539843,0.5300196886062623,0.042225793483022675,71.6,5.0,
MLP_GELU_32_32,54.745323181152344,14.014704704284668,7.342043399810791,0.9163671135902405,5.661240100860596,0.6363388299942017,0.19023579356231513,0.026490624888374937,0.8054488182067872,0.031616212857462786,182.6,5.0,
MLP_Tanh_32_32,90.7831039428711,34.253662109375,9.349985122680664,1.8332700729370117,6.596940517425537,1.033380150794983,0.18625916429779252,0.026080561215478863,0.6820992231369019,0.08832225212154611,187.6,5.0,
MLP_ReLU_64,155.60845947265625,20.495365142822266,12.447874069213867,0.8117179274559021,10.109922409057617,0.5595316886901855,0.38077844233536523,0.023186036620777756,0.4406044244766235,0.04609738329146807,78.2,5.0,
MLP_LeakyReLU_64,149.12986755371094,21.282485961914062,12.180580139160156,0.8736926913261414,9.903685569763184,0.6458337903022766,0.3725807065033179,0.024461007470167117,0.46444872617721555,0.04957193583495811,80.2,5.0,
MLP_GELU_64,89.68975067138672,19.664710998535156,9.411062240600586,1.0590856075286865,7.507464408874512,0.9672403335571289,0.2786381110464349,0.03967158703855709,0.6733438849449158,0.08415612138030087,139.0,5.0,
MLP_Tanh_64,87.71160125732422,15.394116401672363,9.33254623413086,0.7843325138092041,7.062580108642578,0.5450749397277832,0.23532328714095754,0.015525659199903763,0.6860913157463073,0.028694844084264082,99.8,5.0,
DecisionTree,41.50803721143474,6.896919113105112,6.419771192408769,0.5427476840606748,4.2206181229773465,0.3201230136615375,0.14744999409594164,0.011705657645187223,0.8513911037169463,0.015359523341101699,,,
LinearRegression,110.9949781235493,17.15731748580565,10.504273747233869,0.8094511515358073,8.341698043038189,0.6740656518344343,0.31744958813539664,0.022857744285460526,0.6006959620275699,0.04781821774039863,,,
